day,w_temp_4C,w_temp_6C,w_temp_8C,w_temp_10C,w_temp_12C,w_temp_14C,w_temp_16C,w_temp_18C,w_temp_20C
141,86.17091,128.473522,203.136371,306.71589,399.984875,423.160622,358.530031,252.789841,161.347276
142,86.478189,129.223814,204.789314,309.76817,404.387785,427.90898,362.324199,255.097251,162.480175
143,86.786235,129.977167,206.451644,312.841635,408.824485,432.694484,366.146364,257.419355,163.618628
144,87.095047,130.733587,208.123392,315.936369,413.295123,437.517299,369.996646,259.756207,164.762651
145,87.404627,131.493083,209.804587,319.052456,417.799847,442.37759,373.875161,262.10786,165.912259
146,87.714977,132.25566,211.495262,322.18998,422.338805,447.275524,377.782028,264.474366,167.067467
147,88.026097,133.021327,213.195445,325.349025,426.912145,452.211265,381.717364,266.85578,168.228292
148,88.337989,133.79009,214.905167,328.529674,431.520014,457.18498,385.681288,269.252156,169.394748
149,88.650653,134.561956,216.62446,331.732012,436.162561,462.196835,389.673917,271.663546,170.566852
150,88.964091,135.336933,218.353352,334.956123,440.839935,467.246997,393.69537,274.090004,171.744618
151,89.278303,136.115028,220.091876,338.202092,445.552284,472.335631,397.745766,276.531583,172.928063
152,89.593292,136.896248,221.840061,341.470002,450.299757,477.462906,401.825222,278.988338,174.117202
153,89.909057,137.6806,223.597938,344.759938,455.082503,482.628987,405.933857,281.460322,175.312051
154,90.225601,138.468091,225.365538,348.071984,459.900671,487.834041,410.071791,283.947589,176.512625
155,90.542923,139.258728,227.14289,351.406226,464.75441,493.078237,414.239142,286.450193,177.71894
156,90.861026,140.052519,228.930027,354.762747,469.64387,498.361741,418.436029,288.968187,178.931011
157,91.17991,140.849471,230.726978,358.141633,474.569201,503.684721,422.662571,291.501625,180.148855
158,91.499576,141.649591,232.533775,361.542968,479.530551,509.047345,426.918888,294.050562,181.372487
159,91.820026,142.452885,234.350448,364.966837,484.528071,514.449781,431.205099,296.615051,182.601922
160,92.141261,143.259362,236.177027,368.413325,489.561911,519.892197,435.521323,299.195146,183.837176
161,92.463281,144.069029,238.013544,371.882518,494.632221,525.374762,439.867679,301.790902,185.078266
162,92.786088,144.881892,239.860029,375.3745,499.739152,530.897643,444.244289,304.402372,186.325206
163,93.109683,145.697959,241.716513,378.889356,504.882853,536.46101,448.651271,307.029611,187.578012
164,93.434067,146.517237,243.583027,382.427173,510.063477,542.065031,453.088745,309.672672,188.836701
165,93.759241,147.339733,245.459603,385.988034,515.281172,547.709875,457.556832,312.331611,190.101287
166,94.085206,148.165455,247.346269,389.572027,520.536091,553.395713,462.055651,315.006481,191.371787
167,94.411963,148.994409,249.243059,393.179235,525.828385,559.122712,466.585324,317.697337,192.648216
168,94.739514,149.826603,251.150002,396.809746,531.158204,564.891043,471.145969,320.404234,193.93059
169,95.067859,150.662044,253.067129,400.463644,536.5257,570.700875,475.737709,323.127225,195.218925
170,95.397,151.50074,254.994473,404.141015,541.931025,576.552378,480.360664,325.866365,196.513237
171,95.726937,152.342697,256.932062,407.841945,547.374331,582.445723,485.014953,328.621708,197.813542
172,96.057673,153.187923,258.879929,411.56652,552.855768,588.381079,489.700699,331.39331,199.119854
173,96.389207,154.036425,260.838105,415.314827,558.37549,594.358617,494.418023,334.181225,200.432191
174,96.721541,154.88821,262.806621,419.08695,563.933649,600.378508,499.167044,336.985508,201.750568
175,97.054676,155.743285,264.785507,422.882977,569.530396,606.440922,503.947885,339.806212,203.075
176,97.388613,156.601659,266.774795,426.702994,575.165885,612.54603,508.760667,342.643394,204.405504
177,97.723354,157.463337,268.774517,430.547086,580.840267,618.694003,513.605512,345.497108,205.742096
178,98.058899,158.328328,270.784702,434.41534,586.553697,624.885014,518.482541,348.367408,207.084791
179,98.39525,159.196638,272.805383,438.307843,592.306325,631.119232,523.391875,351.25435,208.433605
180,98.732407,160.068275,274.836591,442.224682,598.098307,637.39683,528.333637,354.157989,209.788554
181,99.070372,160.943246,276.878356,446.165942,603.929794,643.717979,533.307948,357.078379,211.149655
182,99.409145,161.821558,278.930711,450.131711,609.80094,650.082851,538.31493,360.015576,212.516922
183,99.748729,162.703219,280.993686,454.122075,615.7119,656.49162,543.354707,362.969634,213.890372
184,100.089123,163.588235,283.067313,458.137121,621.662825,662.944456,548.427399,365.940609,215.270021
185,100.43033,164.476615,285.151623,462.176936,627.653871,669.441532,553.533129,368.928557,216.655885
186,100.77235,165.368365,287.246647,466.241607,633.685191,675.983021,558.67202,371.933531,218.04798
187,101.115184,166.263493,289.352418,470.331222,639.756939,682.569095,563.844194,374.955588,219.446321
188,101.458833,167.162006,291.468965,474.445866,645.869269,689.199929,569.049775,377.994783,220.850925
189,101.803299,168.063912,293.596321,478.585629,652.022336,695.875694,574.288884,381.05117,222.261807
190,102.148583,168.969216,295.734517,482.750596,658.216295,702.596564,579.561645,384.124807,223.678984
191,102.494686,169.877928,297.883585,486.940855,664.4513,709.362712,584.868181,387.215747,225.102472
192,102.841608,170.790054,300.043556,491.156494,670.727506,716.174313,590.208615,390.324047,226.532287
193,103.189352,171.705602,302.214461,495.3976,677.045067,723.03154,595.58307,393.449761,227.968444
194,103.537917,172.624578,304.396333,499.664261,683.40414,729.934566,600.99167,396.592946,229.41096
195,103.887306,173.546991,306.589202,503.956564,689.804879,736.883566,606.434538,399.753658,230.85985
196,104.237519,174.472847,308.7931,508.274598,696.247439,743.878715,611.911798,402.931951,232.315132
197,104.588557,175.402154,311.008059,512.61845,702.731977,750.920186,617.423573,406.127882,233.77682
198,104.940422,176.334919,313.234111,516.988207,709.258647,758.008154,622.969988,409.341505,235.244932
199,105.293114,177.27115,315.471287,521.383959,715.827607,765.142795,628.551165,412.572878,236.719482
200,105.646635,178.210853,317.719618,525.805792,722.439011,772.324282,634.167231,415.822056,238.200488
201,106.000986,179.154037,319.979137,530.253796,729.093016,779.552792,639.818307,419.089095,239.687964
202,106.356168,180.100708,322.249876,534.728058,735.789777,786.828499,645.50452,422.37405,241.181929
203,106.712182,181.050874,324.531865,539.228666,742.529453,794.151578,651.225992,425.676978,242.682396
204,107.06903,182.004543,326.825137,543.755709,749.312198,801.522206,656.982849,428.997934,244.189383
205,107.426711,182.961721,329.129723,548.309276,756.13817,808.940558,662.775215,432.336976,245.702907
206,107.785228,183.922416,331.445656,552.889454,763.007526,816.40681,668.603215,435.694158,247.222982
207,108.144582,184.886635,333.772967,557.496333,769.920422,823.921138,674.466974,439.069537,248.749625
208,108.504773,185.854386,336.111688,562.130001,776.877016,831.483718,680.366616,442.463169,250.282852
209,108.865803,186.825676,338.46185,566.790547,783.877465,839.094727,686.302267,445.875111,251.82268
210,109.227672,187.800513,340.823487,571.478059,790.921926,846.754341,692.274052,449.305418,253.369125
211,109.590383,188.778903,343.196629,576.192626,798.010557,854.462737,698.282096,452.754147,254.922202
212,109.953936,189.760855,345.581308,580.934338,805.143515,862.220092,704.326524,456.221354,256.481928
213,110.318332,190.746375,347.977558,585.703283,812.320959,870.026583,710.407462,459.707096,258.04832
214,110.683572,191.735472,350.385409,590.499551,819.543046,877.882387,716.525036,463.211429,259.621394
215,111.049658,192.728151,352.804893,595.32323,826.809935,885.78768,722.679371,466.73441,261.201165
216,111.41659,193.724422,355.236043,600.174409,834.121782,893.742642,728.870592,470.276095,262.78765
217,111.78437,194.724291,357.67889,605.053179,841.478748,901.747449,735.098826,473.836541,264.380865
218,112.152999,195.727766,360.133468,609.959629,848.880991,909.80228,741.364199,477.415803,265.980827
219,112.522478,196.734853,362.599807,614.893847,856.328668,917.907312,747.666837,481.01394,267.587552
220,112.892808,197.745561,365.07794,619.855923,863.82194,926.062723,754.006866,484.631008,269.201056
221,113.26399,198.759897,367.567899,624.845947,871.360964,934.268692,760.384413,488.267063,270.821356
222,113.636025,199.777869,370.069716,629.864009,878.9459,942.525397,766.799603,491.922162,272.448467
223,114.008914,200.799483,372.583424,634.910199,886.576908,950.833017,773.252563,495.596362,274.082407
224,114.382659,201.824747,375.109054,639.984605,894.254146,959.19173,779.743421,499.28972,275.723191
225,114.757261,202.853669,377.646639,645.087319,901.977773,967.601716,786.272302,503.002293,277.370835
226,115.132721,203.886256,380.196211,650.218429,909.74795,976.063154,792.839334,506.734137,279.025357
227,115.509039,204.922516,382.757803,655.378026,917.564837,984.576222,799.444643,510.48531,280.686772
